date,model,provider,input_tokens,output_tokens,reasoning_tokens,cache_read,cache_write,total_tokens,cost,message_count
2026-04-16,minimax-m2.7,opencode-go,179443,124268,0,16796578,1495773,18596062.0,1.21074918,216
2026-04-16,MiniMax-M2.7,minimax-cn-coding-plan,1359572,79813,0,13282121,292041,15013547.0,0.0,186
2026-04-16,claude-haiku-4-5,opencode,14,2753,0,56577,65098,124442.0,0.1008092,3
2026-04-15,MiniMax-M2.7,minimax-cn-coding-plan,292747,42759,0,8567749,817429,9720684.0,0.0,108
2026-04-15,minimax-m2.7,opencode-go,97601,29516,0,6809662,877294,7814073.0,0.47327922,93
2026-04-14,MiniMax-M2.7,minimax-cn-coding-plan,1228716,109713,0,14167583,667828,16173840.0,0.0,190
2026-04-14,minimax-m2.7,opencode-go,2010,523,0,73513,74319,150365.0,0.0056413800000000005,2
2026-04-13,MiniMax-M2.7,minimax-cn-coding-plan,268302,52302,0,15235968,694787,16251359.0,0.0,159
2026-04-13,minimax-m2.7,opencode-go,67988,17960,0,5721606,346634,6154188.0,0.38524476,49
2026-04-12,MiniMax-M2.7,minimax-cn-coding-plan,1989508,334006,0,55908740,3304772,61537026.0,0.0,807
2026-04-12,minimax-m2.7,opencode-go,463784,76491,0,23357116,1406116,25303507.0,1.63235136,261
2026-04-12,mimo-v2-omni,opencode-go,900464,34718,110892,22161088,0,23207162.0,2.42429264,246
2026-04-12,gpt-5.4,opencode,496920,12692,10048,2375936,0,2895596.0,2.177384,50
2026-04-12,mimo-v2-pro,opencode-go,221877,4115,2386,1061632,0,1290010.0,0.4537064,17
2026-04-11,mimo-v2-pro,opencode-go,1105591,26004,9789,10708672,0,11850056.0,3.3547044,116
2026-04-11,minimax-m2.7,opencode-go,1049615,39795,0,5418507,657627,7165544.0,0.68774892,115
2026-04-11,MiniMax-M2.7,minimax-cn-coding-plan,716032,11542,0,2167736,254478,3149788.0,0.0,43
2026-04-11,claude-haiku-4-5,opencode,293,22455,0,1075541,172187,1270476.0,0.43535585,58
2026-04-11,glm-5.1,opencode-go,143277,3453,0,350144,0,496874.0,0.30681843999999997,7
2026-04-10,mimo-v2-pro,opencode-go,2793490,87773,35501,42232320,0,45149084.0,17.2381618,235
2026-04-10,MiniMax-M2.7,minimax-cn-coding-plan,3215152,73448,0,13754913,1079007,18122520.0,0.0,231
2026-04-10,gpt-5.4,opencode,868887,110405,74085,10527104,0,11580481.0,7.5713435,226
2026-04-10,claude-haiku-4-5,opencode,530,40276,0,2533379,231637,2805822.0,0.74479415,92
2026-04-10,gemini-3.1-pro-preview,google,326921,3442,2426,2041291,0,2374080.0,1.6635512,14
2026-04-10,gpt-5-nano,opencode,1432500,41561,33088,875136,0,2349197.0,0.0,74
2026-04-10,glm-5.1,opencode-go,456067,7069,0,1324800,0,1787936.0,1.0140454,12
2026-04-10,mimo-v2-omni,opencode-go,148451,2520,1398,886208,0,1038577.0,0.13811304,7
2026-04-10,gemini-flash-latest,google,188244,1427,832,683025,0,873528.0,0.11334757499999999,10
2026-04-10,big-pickle,opencode,139744,2643,0,453168,0,595555.0,0.0,10
2026-04-09,gemini-3.1-pro-preview,google,2856954,67318,43249,26977100,0,29944621.0,14.4855024,418
2026-04-09,MiniMax-M2.7,minimax-cn-coding-plan,69186,35750,0,4923783,1064855,6093574.0,0.0,68
2026-04-09,big-pickle,opencode,825614,40892,0,2374400,0,3240906.0,0.0,63
2026-04-09,gpt-5-nano,opencode,203871,35263,31424,0,0,239134.0,0.0,19
2026-04-08,gemini-3.1-pro-preview,google,1077168,37730,15014,11387743,0,12517655.0,5.0648126,127
2026-04-08,gemini-3.1-flash-lite-preview,google,541509,12271,3658,1533193,0,2090631.0,0.197600575,17
2026-04-08,MiniMax-M2.7,minimax-cn-coding-plan,20656,45475,0,1674926,204258,1945315.0,0.0,38
2026-04-08,gemini-flash-latest,google,153971,10864,937,269161,0,434933.0,0.095880875,3
2026-04-07,mimo-v2-pro,xiaomi-token-plan-cn,802830,66077,15741,23991808,0,24860715.0,0.0,200
2026-04-07,gemini-3.1-pro-preview,google,505890,12347,10641,4842487,0,5371365.0,2.2561334,50
2026-04-07,big-pickle,opencode,129247,8237,0,682592,0,820076.0,0.0,32
2026-04-02,MiniMax-M2.7,minimax-cn-coding-plan,182176,122054,0,22262836,1303760,23870826.0,0.0,233
2026-04-02,gpt-5-nano,opencode,680329,52000,34048,297856,0,1030185.0,0.0,33
2026-04-02,gemini-3.1-pro-preview,google,45351,1838,21373,12237,0,80799.0,0.3716814,2
2026-04-01,MiniMax-M2.7,minimax-cn-coding-plan,269146,257991,0,38681927,1407964,40617028.0,0.0,429
2026-04-01,gemini-3-flash-preview,google,102645,2440,33264,228224,0,366573.0,0.16984570000000002,17
2026-03-31,MiniMax-M2.7,minimax-cn-coding-plan,263868,224799,0,50825462,2745686,54059815.0,0.0,502
2026-03-31,gpt-5-nano,opencode,130712,9293,7104,111360,0,251365.0,0.0,9
2026-03-31,gemini-3.1-pro-preview,google,12081,1263,1533,0,0,14877.0,0.057714,1
2026-03-30,MiniMax-M2.7,minimax-cn-coding-plan,32514,47485,0,2320572,232191,2632762.0,0.0,56
2026-03-19,MiniMax-M2.7,minimax-cn-coding-plan,2740,2026,0,636607,143206,784579.0,0.0,11
